Date,tic,quant_technical_st,quant_technical_it,quant_technical_lt,y
2012-02-27,EWI,-0.26379882254013487,0.7987901222645499,0.2901513247540719,-0.1330589393493534
2012-02-27,QTEC,0.35330199447339483,0.4907167968732635,1.0323988997063491,-0.0333961683078471
2012-02-27,UWM,-0.8997424125922456,-1.2124885877899911,-0.780484571237698,-0.04420506204946329
2012-02-27,LD,1.5074218430864847,0.9088163099042951,0.3396344964175571,-0.07236218830600752
2012-02-27,JKE,1.8371703712616532,1.0672540201055278,1.2033407654529347,0.017673930176487215
2012-02-27,FRL,0.023553466298226324,0.750378599703062,1.3158025192335827,0.24712313137599354
2012-02-27,SDIV,0.26379882254013454,-1.036446687566399,-0.9019432653207979,-0.044535872114040115
2012-02-27,FCL,1.5121325363461298,1.7758226685054868,0.8569585638085384,-0.23704207226922408
2012-02-27,KME,-1.634610561096907,0.19584661399874645,-0.717505989120535,-0.023684009685107667
2012-02-27,HEDJ,0.8479247867361477,-0.46431051183972416,-0.7534937503303426,-0.05448389821158911
2012-02-27,IVW,0.838503400216857,-0.424701084289416,-0.3846191979298167,0.006201389194332718
2012-02-27,TWM,-1.2671764868445763,-1.7010048609104593,-1.3517902804433903,-0.032903650550608794
2012-02-27,FXP,-0.588836657455658,-1.6613954333601513,-1.3023071087799052,0.04236619119212982
2012-02-27,WMW,-0.15545287756829393,0.23105499404346508,1.180848414696805,-0.01568400968510771
2012-02-27,IYH,0.6171008170135294,0.3234769916608511,1.0728851310673826,0.011585203660668928
2012-02-27,JYN,-1.0504845969008942,-0.3146748966496707,0.9244356160769273,-0.036046660274558925
2012-02-27,RTM,0.7207360687257254,0.3322790866720305,0.7354998697254383,-0.03140665731753251
2012-02-27,RUSL,0.7537109215432424,-0.5919408895018287,-0.9199371459257017,-0.34636389149078095
2012-02-27,BUND,0.876188946294019,-0.4775136543564936,-0.6950136383644054,44.5038389260947
2012-02-27,SOIL,-1.0457739036412488,-1.1376707801949644,-0.22717274263690934,-0.040065776066873955
2012-02-27,JJG,0.44751585966630014,-0.49511784437885276,-1.198842295301709,0.0033784302974326948
2012-02-27,MVV,-0.11305663823148662,-0.6843628871192144,-0.6500289368521461,-0.007019765084375251
2012-02-27,FAZ,-1.3472582722585458,-0.9880351650049111,-1.3292979296872607,-0.1951806215760627
2012-02-27,RUSS,-0.8055285473993403,-0.29707070662731155,0.2091788620320051,0.27198243635439145
2012-02-27,PTF,0.5652831911574318,0.8736079298595767,0.9964111384965418,-0.001007429759456998
2012-02-27,FNIO,-1.2389123272867049,-1.436942010575071,-0.1956834515783281,0.01162731304191553
2012-02-27,USL,-0.3109057551365875,0.028606808786333985,-0.4430993098957539,-0.05590138040663359
2012-02-27,GSP,-0.27793090231907086,0.07261728384223204,-0.6545274070033721,-0.06884179233787051
2012-02-27,PZT,-0.7866857743607594,-0.7371754571862921,-0.17768957097342414,-0.026553997502655313
2012-02-27,FGD,0.45693724618559045,-0.23545604154905433,-0.9154386757744758,-0.042946950190255774
2012-02-27,PIO,-1.1070129160166373,-1.0056393550272702,-1.014405019101446,-0.04265722397082214
2012-02-27,CHIQ,-1.3613903520374815,-0.7459775521974717,-1.194343825150483,-0.03619223878319849
2012-02-27,FOIL,1.017509744083377,-0.36308641921115864,0.739998339876664,0.002693581686592634
2012-02-27,SCO,-1.3237048059603194,-1.0100404025328602,-1.3517902804433903,0.037080984809956655
2012-02-27,BONO,0.44751585966630014,-0.5215241294123917,-0.03373852613419475,
2012-02-27,FBM,-1.0363525171219583,-1.3313168704409157,-0.30814520535897616,
2012-02-27,EFO,0.46635863270488115,0.35868537170556936,0.42060695913962365,-0.07055247046250399
2012-02-27,DOO,-0.2449560495015539,-0.3542843241999792,-1.1133713624284165,-0.06636267037834033
2012-02-27,UCO,-0.3014843686172972,-0.09902356887577031,-0.7579922204815684,-0.1123342655956185
2012-02-27,JJA,0.9704028114869242,0.7899880272533701,0.25416356354426434,-0.03305043742860762
2012-02-27,UYG,-0.36272338099268553,-1.0232435450496293,-0.8929463250183461,0.07711899483250192
2012-02-27,ERO,0.9468493451886979,1.0892592576334768,0.24516662324181265,-0.04010909181071152
2012-02-27,PXR,0.004710693259644997,0.49951889188444326,0.4880840114080125,-0.0713563686824219
2012-02-27,CZA,0.7442895350239517,0.8383995498148581,1.1043744221259642,-0.00981649085205739
2012-02-27,KBWP,1.945516316233494,1.8594425711116926,1.4912428551313934,-0.010301110056854768
2012-02-27,IHE,1.460314910490032,1.3753273454968142,1.2753162878725492,0.004869722612698649
2012-02-27,RJZ,0.904453105851891,1.02764459255522,0.4655916606518829,-0.09235353758210343
2012-02-27,RTLA,0.5228869518206241,0.3938937517502877,1.0099065489502195,-0.05444678449160376
2012-02-27,RJI,0.9609814249676336,0.2926696591217223,-0.8164723324475055,-0.06815255632285172
2012-02-27,FMK,-0.0047106932596453314,-0.6799618396136248,-0.8614570339597647,-0.025215454299707063
2012-02-27,IPK,0.7066039889467897,-0.6667586970968553,-0.9244356160769276,-0.012235095354274516
2012-02-27,PSP,-0.584125964196013,-0.8472016448260372,-1.023401959403898,-0.03969254757198051
2012-02-27,IGN,-0.5228869518206244,-0.26186232658259323,-0.8749524444134426,-0.09299094259174871
2012-02-27,GMF,-0.5464404181188508,0.1518361389428484,0.4116100188371717,-0.058388886772001145
2012-02-27,BAL,-0.14603149104900326,0.5347272719291616,0.19118498142710144,0.004949162089305719
2012-02-27,QCLN,-1.6298998678372616,-1.577775530753945,-1.257322407267646,-0.11858105534312025
